route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
2740,2000,1,Edinburgh College,,3,,C800A1,0
2741,2000,10,Paisley,,3,,EC008C,0
2742,2000,11,Silvercreek,,3,,5C7AAE,0
2743,2000,12,Delhi,,3,,8290,0
2744,2000,13,Eastview,,3,,811167,0
2745,2000,14,Grange,,3,,4.85E+90,0
2746,2000,15,College,,3,,8F7140,0
2747,2000,16,Southgate,,3,,29712A,0
2748,2000,17,Woodlawn Watson,,3,,CB640A,0
2749,2000,18,Watson Woodlawn,,3,,CB640A,0
2750,2000,19,Hanlon Creek,,3,,0000FF,0
2751,2000,2,College Edinburgh,,3,,C800A1,0
2752,2000,20,Northwest Industrial,,3,,556940,0
2753,2000,3,Westmount,,3,,91469B,0
2754,2000,4,York,,3,,1988B7,0
2755,2000,5,Goodwin,,3,,921B1E,0
2756,2000,50 U,Scottsdale,,3,,FF00FF,0
2757,2000,52 U,Kortright,,3,,8290,0
2758,2000,56 U,Colonial,,3,,ED1C24,0
2759,2000,58 U,Edinburgh,,3,,91469B,0
2761,2000,6,Ironwood,,3,,ED1C24,0
2762,2000,7,Niska,,3,,682C91,0
2763,2000,8,Stone Road Mall,,3,,0082B1,0
2764,2000,9,Waterloo,,3,,A54686,0
2787,2000,98,98 Speedvale,,3,,B04606,0
2765,2000,99,Mainline,,3,,4F832E,0
2766,2000,99Lite,99 Lite,,3,,0000FF,0
2767,2000,BREW,Brewery Tour Charter,,3,,0,0
2768,2000,EdiCol,Edinburgh Colonial,,3,,0000FF,0
2772,2000,IroHarv,Ironwood Harvard,,3,,0000FF,0
2773,2000,Sun LN,Sunday Late Night,,3,,0000FF,0
2776,2000,WHanSco,West Hanlon Scottsdale,,3,,0000FF,0
2840,2000,ZehrsGS,Zehrs Grocery Shuttle,,3,,FF8040,0
